id,x[m],y[m],z[m],t[s]
1,0.5,-0.25,0.4,0.0
1,0.0,-0.25,0.4,2.0
1,-0.5,0.25,0.4,4.0
1,0.0,0.75,0.4,6.0
1,0.0,1.25,0.4,8.0
1,0.0,1.25,0.4,10.0
1,-0.5,0.75,0.4,12.0
1,-0.5,0.25,0.4,14.0
1,-0.5,-0.25,0.4,16.0
1,-0.5,-0.25,0.4,18.0
1,-0.5,-0.25,0.4,20.0
1,-0.5,-0.25,0.4,22.0
1,0.0,-0.25,0.4,24.0
1,0.0,-0.25,0.4,26.0
1,0.0,-0.25,0.4,28.0
1,0.0,-0.25,0.4,30.0
2,0.5,-0.75,0.4,0.0
2,0.0,-0.75,0.4,2.0
2,-0.5,-0.25,0.4,4.0
2,-0.5,0.25,0.4,6.0
2,0.0,0.75,0.4,8.0
2,0.5,1.25,0.4,10.0
2,0.5,1.25,0.4,12.0
2,0.0,0.75,0.4,14.0
2,-0.5,0.25,0.4,16.0
2,0.0,-0.25,0.4,18.0
2,-0.5,-0.75,0.4,20.0
2,-0.5,-0.75,0.4,22.0
2,-0.5,-0.75,0.4,24.0
2,-0.5,-0.75,0.4,26.0
2,-0.5,-0.75,0.4,28.0
2,-0.5,-0.75,0.4,30.0
3,0.5,-1.25,0.4,0.0
3,0.5,-0.75,0.4,2.0
3,0.0,-0.25,0.4,4.0
3,-0.5,-0.25,0.4,6.0
3,-0.5,0.25,0.4,8.0
3,0.0,0.75,0.4,10.0
3,0.0,1.25,0.4,12.0
3,0.5,1.25,0.4,14.0
3,0.5,1.25,0.4,16.0
3,0.0,0.75,0.4,18.0
3,-0.5,0.25,0.4,20.0
3,-0.5,0.25,0.4,22.0
3,-0.5,-0.25,0.4,24.0
3,-0.5,-0.25,0.4,26.0
3,-0.5,-0.25,0.4,28.0
3,-0.5,-0.25,0.4,30.0
